pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,habitability_score
TRAPPIST-1 f,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,0.03853361,4.8e-07,-4.8e-07,0.0,1.046,0.029,-0.03,0.0,0.09331787,0.00258721,-0.00267642,0.0,0.934,0.08,-0.078,0.0,0.00293868,0.00025171,-0.00024541,0.0,Mass,0.01007,0.00068,-0.00068,0.0,,,,,,,,,1.0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,,,,,,0.089,0.007,-0.007,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2020-12-10,2018-05,2020-12-17,99.1216745737706
TRAPPIST-1 b,TRAPPIST-1,0,1,7,Transit,2016,La Silla Observatory,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,0.01154775,5.7e-08,-5.7e-08,0.0,1.121,0.031,-0.032,0.0,0.10000892,0.00276563,-0.00285485,0.0,1.017,0.154,-0.143,0.0,0.00319982,0.00048454,-0.00044993,0.0,Mass,0.00622,0.00304,-0.00304,0.0,,,,,,,,,1.0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,,,,,,0.089,0.007,-0.007,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2020-12-10,2018-05,2020-12-17,97.08559918350501
TRAPPIST-1 c,TRAPPIST-1,0,1,7,Transit,2016,La Silla Observatory,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,0.01581512,1.5e-07,-1.5e-07,0.0,1.095,0.03,-0.031,0.0,0.09768936,0.00267642,-0.00276563,0.0,1.156,0.142,-0.131,0.0,0.00363716,0.00044678,-0.00041217,0.0,Mass,0.00654,0.00188,-0.00188,0.0,,,,,,,,,1.0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,,,,,,0.089,0.007,-0.007,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2020-12-10,2018-05,2020-12-17,96.43594886040677
TRAPPIST-1 e,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,0.02928285,3.4e-07,-3.4e-07,0.0,0.91,0.026,-0.027,0.0,0.08118476,0.00231956,-0.00240878,0.0,0.772,0.079,-0.075,0.0,0.00242897,0.00024856,-0.00023598,0.0,Mass,0.0051,0.00058,-0.00058,0.0,,,,,,,,,1.0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,,,,,,0.089,0.007,-0.007,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2020-12-10,2018-05,2020-12-17,94.77370465047257
TRAPPIST-1 g,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,0.04687692,3.2e-07,-3.2e-07,0.0,1.148,0.032,-0.033,0.0,0.1024177,0.00285485,-0.00294406,0.0,1.148,0.098,-0.095,0.0,0.00361199,0.00030834,-0.0002989,0.0,Mass,0.00208,0.00058,-0.00058,0.0,,,,,,,,,1.0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,,,,,,,0.089,0.007,-0.007,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,,,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,2020-12-10,2018-05,2020-12-17,94.26906467838188
Kepler-452 b,Kepler-452,0,1,1,Transit,2015,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),1,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,384.847556,0.007105,-0.007105,0.0,0.994,,,0.0,1.09,0.2,-0.1,0.0,0.09724345,0.01784284,-0.00892142,0.0,,,,,,,,,,0.0,,,0.0,0.56,0.32,-0.15,0.0,220.0,,,0.0,0.0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5579.0,150.0,-150.0,0.0,0.798,0.15,-0.075,0.0,0.892,0.082,-0.109,0.0,-0.22,0.3,-0.3,0.0,[Fe/H],4.58,0.034,-0.127,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m00.90s,296.003752,+44d16m39.31s,44.2775861,551.727,5.236,-5.141,13.54,0.08,-0.08,11.852,0.016,-0.016,13.4048,0.000235,-0.000235,2017-05-08,2017-08-31 00:00,2017-05-08,88.44943377422788
Kepler-452 b,Kepler-452,0,1,1,Transit,2015,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),1,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,384.843022,0.009989,-0.009989,0.0,0.9892,,,0.0,1.13,0.35,-0.09,0.0,0.10081202,0.03122496,-0.00802928,0.0,,,,,,,,,,0.0,,,0.0,0.56,0.51,-0.13,0.0,220.0,,,0.0,0.0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5578.0,153.0,-137.0,0.0,0.794,0.246,-0.059,0.0,0.87,0.092,-0.089,0.0,-0.24,0.32,-0.28,0.0,[Fe/H],4.578,0.029,-0.029,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m00.90s,296.003752,+44d16m39.31s,44.2775861,551.727,5.236,-5.141,13.54,0.08,-0.08,11.852,0.016,-0.016,13.4048,0.000235,-0.000235,2015-08-25,2015-09-24,2015-08-25,87.30925790486874
Kepler-296 e,Kepler-296,0,2,5,Transit,2014,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,34.1420506,0.0002289,-0.0002289,0.0,0.151,,,0.0,1.06,0.13,-0.16,0.0,0.09456703,0.01159784,-0.01427427,0.0,,,,,,,,,,0.0,,,0.0,0.89,0.33,-0.3,0.0,248.0,,,0.0,0.0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,3526.0,71.0,-78.0,0.0,0.383,0.048,-0.058,0.0,0.394,0.055,-0.067,0.0,-0.08,0.15,-0.15,0.0,[Fe/H],4.866,0.066,-0.044,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2017-05-08,2017-08-31 00:00,2017-05-08,80.20185872785281
Kepler-296 e,Kepler-296,0,2,5,Transit,2014,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,34.14189,0.0002635,-0.0002635,0.0,0.1492,,,0.0,1.08,0.18,-0.17,0.0,0.09635131,0.01605855,-0.01516641,0.0,,,,,,,,,,0.0,,,0.0,0.84,0.39,-0.29,0.0,244.0,,,0.0,0.0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,3517.0,70.0,-57.0,0.0,0.37,0.06,-0.06,0.0,0.38,0.06,-0.06,0.0,-0.07,0.11,-0.11,0.0,[Fe/H],4.881,0.098,-0.098,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2014-11-21,2014-12-18,2014-11-21,79.07063386773122
Kepler-296 e,Kepler-296,0,2,5,Transit,2014,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,34.14189,0.0002635,-0.0002635,0.0,0.1492,,,0.0,1.08,0.18,-0.17,0.0,0.09635131,0.01605855,-0.01516641,0.0,,,,,,,,,,0.0,,,0.0,0.84,0.39,-0.29,0.0,244.0,,,0.0,0.0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,3517.0,70.0,-57.0,0.0,0.37,0.06,-0.06,0.0,0.38,0.06,-0.06,0.0,-0.07,0.11,-0.11,0.0,[Fe/H],4.881,0.098,-0.098,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2014-11-18,2014-12-04,2014-11-18,79.07063386773122
